Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,0.045175752,0.050062904,0.060857417,0.065847311,0.065107874,0.079127648,0.078179274,0.088895859,0.093714705,0.097665785,0.101651922,0.104907288,0.104413873,0.106993982,0.12165228,0.127340981,0.13703446,0.15183371,0.165910583,0.221021187,0.21437893,0.241864952,0.266760398,0.270405812,0.297539463,0.327189316,0.225761005,0.353293131,0.361870046,0.352332055,0.335765357,0.344135269,0.363221989,0.412245779,0.430187145,0.462647522,0.46057352,0.500896333,0.493070782,0.526922596,0.507506962,0.337124798,0.409986185,0.463848197,0.475080546,0.476461184,0.494114022,0.467188552,0.502076806,0.575822321,0.494730747,0.479191757,0.496682755
Afghanistan,17.33619212,17.29279326,15.34225073,15.9660602,17.27844284,17.98425331,17.98910685,18.15341388,17.70045932,17.49476257,17.52177991,17.61438835,17.55756614,17.49282266,16.43593559,16.36949694,14.64739149,14.23515675,14.39958716,13.67069846,13.77560449,13.85465351,12.90364914,13.07113038,13.228593,13.6246765,14.96940783,16.06067866,16.9107136,17.93944796,16.04541997,14.38789463,17.04471035,17.73231774,17.78945145,18.19132436,18.46103626,19.61755452,23.08980825,26.31346123,30.19093931,34.47027741,32.464602,30.89995414,31.21444607,31.20849536,30.56723038,31.77300686,31.43983977,30.32285095,28.15067419,28.95369671,29.11787902
Angola,20.13836441,20.01841579,22.72100118,24.37591125,25.08320773,23.88992383,19.96041938,24.62094511,26.75341317,27.34733335,27.85470381,26.40785364,26.69060729,28.58006488,29.5379862,31.31576771,32.91526044,35.07107874,37.65047224,38.06027914,34.95703644,34.82594233,33.94866933,37.77623242,48.92596789,56.341505,67.36821204,70.2139149,75.47142156,76.24046543,71.46133796,69.30238859,68.05225714,68.30398978,74.42710729,73.53389986,66.56064261,65.71769834,70.04277201,71.17342634,78.13086853,76.69170976,78.41303282,82.98549282,85.18664518,90.11060398,87.09603742,81.88804529,78.21574867,77.43541071,71.68251324,69.61389818,66.48005759
Anguilla,0.004256361,0.004257561,0.004358065,0.004201417,0.004450573,0.004692411,0.004526209,0.004627492,0.004994749,0.005300006,0.00653065,0.008828532,0.009285104,0.008319102,0.008021566,0.005827917,0.0053768,0.00853137,0.008310968,0.008776587,0.008846353,0.01046251,0.010894672,0.013085332,0.016453182,0.019952484,0.019860245,0.017210092,0.016131932,0.015510534,0.019387952,0.019961284,0.014844671,0.018271592,0.017723431,0.018016773,0.017228831,0.016801137,0.020271888,0.024959934,0.028984432,0.031086624,0.031155293,0.033171173,0.033173596,0.033318122,0.033730984,0.034494365,0.033630961,0.033000431,0.028106836,0.027267451,0.028098791
International Aviation,171.1604553,171.1479822,181.492019,189.2612131,182.1232457,176.1076377,176.4120121,192.354128,199.2457495,206.0781308,204.8473006,204.2167775,211.4994124,213.3814394,221.3801272,227.5572244,250.0542195,264.2340485,279.148129,293.2882121,261.8044852,254.5891211,262.9476936,268.013454,281.5592752,292.1862584,304.0434992,318.8752731,329.3838026,343.3805259,355.8928385,350.0055918,370.7289209,368.6743986,398.1645939,423.3091,438.9779929,452.8070247,460.4864269,439.0135158,464.9141785,479.8313053,479.9963236,488.0254648,503.952576,532.8782841,555.7852197,591.0793137,617.4303557,627.4783015,299.325868,345.3760015,425.9637352
Albania,8.261250224,8.20586179,9.1409237,8.633941456,8.906908393,9.113706541,9.738074162,10.29317741,11.3132067,12.47560744,12.67935865,11.70469401,12.34812885,13.19872313,13.5122899,13.07727384,13.3029529,13.59236496,13.49809841,13.38946596,11.56814995,9.084328854,6.194991712,6.231224543,6.925476723,6.567055841,6.306009794,5.560192961,5.828660737,7.040419898,7.251388866,7.445691948,8.073175451,8.265510937,8.476583244,8.07008509,8.115437573,8.07162697,7.855476541,7.833121252,8.141796911,8.543462931,8.253650324,8.51493426,9.006528782,8.845874441,8.461623399,9.281256843,9.229380238,8.744489777,7.863103832,7.898121484,7.983378894
Cura�ao,15.07858349,15.07980471,14.65598305,16.20712118,14.67343461,10.58878218,11.26290673,11.39949129,9.686506377,9.58167991,9.090548666,8.426142063,7.649168279,7.184108433,7.009089259,4.69757839,4.486635542,4.165605597,3.657966363,3.145533863,2.855946953,2.958818553,3.092856517,2.570472639,2.87906847,2.885991753,2.9159003,5.540251767,5.725633572,5.676725974,5.898725057,5.897282277,5.639973496,5.640477138,5.862127419,6.146153839,6.004520292,6.49241533,6.433938286,6.094006828,4.450420774,5.720967896,5.814634004,5.345672905,5.884328338,5.946691894,5.169312815,4.171541364,3.379340738,2.620709698,2.15837096,2.081487002,2.154473486
United Arab Emirates,29.37488844,35.42662861,38.99314048,50.04015323,51.45660822,52.46737608,63.65367035,65.29113811,71.50907875,57.1198563,60.09886547,55.78007299,54.16552733,51.7668828,65.87377601,68.76284388,69.28835944,73.3406455,72.86099803,82.60929479,84.78691653,94.15597637,93.09708731,100.0657971,106.1839632,112.663107,118.5535985,121.0829572,122.233273,125.5021669,127.7237373,142.1937143,143.8396437,152.1307309,159.2348821,169.6290698,176.7250603,187.3279072,214.9662977,215.9458178,224.9155445,232.8162105,243.6736086,255.4577658,258.7958281,272.7315588,281.1532245,270.9877693,253.467488,268.6961479,271.2823282,286.7592707,295.1102634
Argentina,223.2109269,226.6139834,233.7824118,241.8043861,242.4992975,243.2420733,251.8553036,262.4027444,255.0680535,261.1222496,256.6668613,251.0513013,248.122556,254.9403404,256.6828021,248.5344323,254.786903,259.1631608,268.408684,268.0926051,262.6701562,266.6933539,268.7562259,271.4502092,277.2695156,280.3220107,288.0828735,293.1787991,298.0995626,305.6195918,303.6759323,299.484498,298.4005361,321.5879987,341.7660419,344.8271048,358.5809949,365.360942,366.066842,343.2477213,346.294663,353.7734396,358.8237163,368.29518,366.6445448,375.1249164,375.9012509,379.1693304,378.2916758,373.7472719,359.025664,378.4203527,382.9924781
Armenia,15.3500713,15.84695211,16.67763352,17.55884807,18.4131199,19.5536357,20.02877513,20.50609483,21.25700173,21.79791897,22.74065926,22.61289225,22.97082033,22.85968253,22.93004954,23.04570587,23.44693042,24.10127179,24.37591639,24.34443904,24.37325578,24.93864938,14.04065979,7.73403089,5.395081205,6.073781358,5.12470626,5.834483842,5.874516035,5.508039184,6.033866777,6.178078102,5.743263472,6.201066956,6.678035222,7.429651813,7.401618668,8.167480476,8.642436936,7.350802554,7.09590721,7.723093328,8.594488588,8.604289279,8.682475861,8.618040933,8.428328277,8.623957359,8.785171681,9.267406741,9.802551076,10.00260527,9.377031338
